instance family sat sequential14 sequentialinputordersoftmax14 sequentialshuffle14 sequentialantiheuristic14 sequentialinputordersoftmaxrestarts14 sequentialrestartsshuffle14 sequentialdds14 sequentialinputordershufflerestartsgoods14 sequentialinputordersoftmaxrestartsgoods14
si6_m4Dr6_m625.07 6 1 10 6 6 6 6 6 7 8 7
si6_m4Dr6_m625.00 6 1 7 7 7 7 7 11 6 7 7
si6_m4Dr6_m625.08 6 1 6 7 11 6 7 6 11 7 8
si6_m4Dr6_m625.05 6 1 6 6 7 7 7 6 7 8 7
si6_m4Dr6_m625.06 6 1 11 7 7 7 6 7 11 12 7
si6_m4Dr6_m625.02 6 1 7 11 6 6 11 9 6 8 8
si6_m4Dr6_m625.03 6 1 6 6 6 9 6 6 6 7 7
si4_m4Dr2_m625.09 6 1 3 2 4 2 2 3 2 3 3
si4_m4Dr2_m625.04 6 1 3 4 6 5 5 5 3 5 6
si4_m4Dr2_m625.02 6 1 2 2 2 3 2 3 2 3 4
si4_m4Dr2_m625.07 6 1 2 2 3 2 3 2 2 3 3
si4_m4Dr2_m625.00 6 1 2 2 2 2 3 2 2 3 3
si4_m4Dr2_m625.08 6 1 2 2 2 3 2 2 3 3 3
si4_m4Dr2_m625.01 6 1 3 2 2 2 2 2 2 3 5
si4_m4Dr2_m625.06 6 1 2 2 2 2 2 3 2 3 4
si4_m4Dr2_m625.03 6 1 2 3 2 2 4 3 2 3 3
si4_m4Dr2_m625.05 6 1 2 3 2 2 3 2 2 3 3
si2_r001_m600.00 7 1 5 7 2 36 8 2 83 11 8
si2_r001_m600.06 7 1 108 146 140 101 127 46 4058 66 433
si2_r001_m600.04 7 1 12 6 22 92 9 63 13 37 7
si2_r001_m600.07 7 1 18 26 5 21 24 6 1190 10 66
si2_r001_m600.02 7 1 2 1 12 6 1 7 75 4 1
si2_r001_m600.08 7 1 57 68 96 99 53 27 629 1 153
si2_r001_m600.03 7 1 44 24 4334 4835 66 67 4778 115 201
si2_r001_m600.01 7 1 4 4 4 1 4 4 308 2 4
si2_r001_m600.05 7 1 58 64 33 14 66 50 6697 11 204
si2_r001_m600.09 7 1 24 4 164 202 7 280 54 28 5
si2_m4Dr2_m256.09 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.03 6 1 1 0 1 3 0 1 5 0 1
si2_m4Dr2_m256.04 6 1 4 2 0 0 2 0 133 1 2
si2_m4Dr2_m256.07 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.00 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.06 6 1 2 1 1 0 1 1 49 4 1
si2_m4Dr2_m256.08 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.05 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.01 6 1 0 0 0 0 0 0 0 0 0
si2_m4Dr2_m256.02 6 1 0 0 0 0 0 0 0 0 0
si6_r001_m600.09 7 1 5 6 10 10 5 6 7 7 12
si6_r001_m600.00 7 1 6 11 8 11 11 13 12 9 8
si6_r001_m600.07 7 1 7 6 9 11 6 10 5 8 7
si6_r001_m600.03 7 1 6 10 7 8 7 11 7 7 7
si6_r001_m600.01 7 1 6 6 7 11 7 6 7 7 8
si6_r001_m600.06 7 1 7 6 7 6 7 11 10 8 7
si6_r001_m600.08 7 1 6 11 9 8 7 8 7 8 8
si6_r001_m600.02 7 1 6 6 6 6 6 6 6 8 7
si6_r001_m600.04 7 1 10 6 8 6 6 6 7 8 8
si6_r001_m600.05 7 1 8 11 6 7 6 10 7 7 7
si2_m4Dr2_m1296.05 6 1 5 5 4 4 3 3 3 3 4
si2_m4Dr2_m1296.09 6 1 6 3 3 3 3 3 4 4 3
si2_m4Dr2_m1296.02 6 1 125 174 80 20 129 91 134 96 137
si2_m4Dr2_m1296.07 6 1 3 6 4 3 4 4 3 4 4
si2_m4Dr2_m1296.00 6 1 5 3 4 3 3 3 3 6 4
si2_m4Dr2_m1296.06 6 1 6 4 6 3 3 3 3 3 7
si2_m4Dr2_m1296.08 6 1 6 3 3 3 3 3 3 6 4
si2_m4Dr2_m1296.01 6 1 12 6 6 3 7 3 6 10 8
si2_m4Dr2_m1296.03 6 1 3 3 3 3 3 3 3 3 4
si2_m4Dr2_m1296.04 6 1 3 3 3 3 3 3 4 4 5
si4_b06m_m800.08 4 1 4 4 4 7 5 5 4 4 5
si4_b06m_m800.00 4 1 4 4 4 5 5 5 4 5 9
si4_b06m_m800.06 4 1 4 4 4 4 4 4 4 6 5
si4_b06m_m800.05 4 1 5 4 4 4 4 4 4 5 5
si4_b06m_m800.04 4 1 4 4 4 5 4 4 7 5 5
si4_b06m_m800.09 4 1 4 4 4 5 4 7 4 4 4
si4_b06m_m800.01 4 1 4 4 7 4 4 4 4 5 9
si4_b06m_m800.07 4 1 4 4 4 4 5 4 4 4 4
si4_b06m_m800.03 4 1 4 4 4 4 4 4 4 5 5
si4_b06m_m800.02 4 1 4 4 4 4 4 5 4 5 5
si6_m4Dr2_m625.08 6 1 6 6 6 11 7 6 7 8 8
si6_m4Dr2_m625.09 6 1 6 6 6 6 6 6 6 7 8
si6_m4Dr2_m625.05 6 1 6 6 6 6 6 10 0 8 13
si6_m4Dr2_m625.01 6 1 6 6 7 6 11 7 6 8 8
si6_m4Dr2_m625.06 6 1 6 6 7 6 7 6 6 8 7
si6_m4Dr2_m625.00 6 1 6 5 6 6 6 6 6 7 8
