instance family sat sequential14 sequentialinputordersoftmax14 sequentialshuffle14 sequentialantiheuristic14 sequentialinputordersoftmaxrestarts14 sequentialrestartsshuffle14 sequentialdds14
si6_r005_m400.07 7 1 1197 3264 4057 12002 1080 2500 1839
si6_r005_m400.00 7 1 763 1548 1840 3830 694 1074 16704
si6_r005_m400.01 7 1 679 682 794 1935 725 1291 3694
si6_r005_m400.02 7 1 278 265 191 1467 265 191 636
si6_r005_m400.04 7 1 161 405 983 1498 405 974 700
si6_r005_m400.05 7 1 147 6 340 5538 6 340 310
si6_r005_m400.09 7 1 38 65 125 695 65 125 73
si6_r005_m400.03 7 1 126 20 563 4428 20 563 890
si6_r005_m400.06 7 1 67 49 997 1150 49 817 178
si6_r005_m400.08 7 1 1061 1090 206 2686 1098 206 9305
si6_m4Dr6_m625.04 6 1 2 2 2 2 2 2 3
si6_m4Dr6_m625.01 6 1 2 2 2 2 2 2 3
si6_m4Dr6_m625.09 6 1 4 4 4 4 4 4 5
si6_m4Dr6_m625.07 6 1 6 6 6 6 6 6 7
si6_m4Dr6_m625.00 6 1 2 2 2 2 2 2 3
si6_m4Dr6_m625.08 6 1 4 4 4 4 4 4 5
si6_m4Dr6_m625.05 6 1 3 3 3 3 3 3 4
si6_m4Dr6_m625.06 6 1 1 1 1 1 1 1 2
si6_m4Dr6_m625.02 6 1 2 2 2 2 2 2 3
si6_m4Dr6_m625.03 6 1 2 2 2 2 2 2 3
si4_m4Dr2_m625.09 6 1 19 19 19 19 19 19 20
si4_m4Dr2_m625.04 6 1 30 66 74 52 66 74 25
si4_m4Dr2_m625.02 6 1 6 6 6 6 6 6 7
si4_m4Dr2_m625.07 6 1 16 16 16 16 16 16 17
si4_m4Dr2_m625.00 6 1 10 10 11 11 10 11 10
si4_m4Dr2_m625.08 6 1 11 11 11 11 11 11 12
si4_m4Dr2_m625.01 6 1 9 9 9 9 9 9 10
si4_m4Dr2_m625.06 6 1 14 14 14 14 14 14 14
si4_m4Dr2_m625.03 6 1 13 13 13 13 13 13 17
si4_m4Dr2_m625.05 6 1 10 10 10 10 10 10 11
si2_r001_m600.00 7 1 187 305 85 1455 305 85 3101
si2_r001_m600.06 7 1 3060 4883 4468 3041 4583 2144 163468
si2_r001_m600.04 7 1 760 326 807 4027 326 3729 1139
si2_r001_m600.07 7 1 728 1044 254 851 984 254 42417
si2_r001_m600.02 7 1 111 43 251 183 43 251 2945
si2_r001_m600.08 7 1 1734 2672 3753 4053 1696 1176 23266
si2_r001_m600.03 7 1 1982 1040 180464 179003 2891 2267 218488
si2_r001_m600.01 7 1 193 224 235 102 224 235 13850
si2_r001_m600.05 7 1 2605 2760 1554 580 2860 2261 308744
si2_r001_m600.09 7 1 683 154 6256 8000 154 8203 2682
si2_m4Dr2_m256.09 6 1 9 9 21 9 9 21 12
si2_m4Dr2_m256.03 6 1 140 77 125 279 77 125 601
si2_m4Dr2_m256.04 6 1 520 306 111 51 306 111 18296
si2_m4Dr2_m256.07 6 1 7 8 7 8 8 7 7
si2_m4Dr2_m256.00 6 1 16 14 21 20 14 21 52
si2_m4Dr2_m256.06 6 1 508 302 351 99 302 351 10549
si2_m4Dr2_m256.08 6 1 7 7 7 7 7 7 8
si2_m4Dr2_m256.05 6 1 3 3 3 3 3 3 3
si2_m4Dr2_m256.01 6 1 19 19 15 12 19 15 72
si2_m4Dr2_m256.02 6 1 19 4 4 5 4 4 113
si6_r001_m600.09 7 1 2 2 2 2 2 2 6
si6_r001_m600.00 7 1 16 16 44 55 16 44 54
si6_r001_m600.07 7 1 7 11 70 78 11 70 7
si6_r001_m600.03 7 1 4 5 8 7 5 8 16
si6_r001_m600.01 7 1 6 9 7 9 9 7 18
si6_r001_m600.06 7 1 5 10 11 13 10 11 6
si6_r001_m600.08 7 1 4 13 45 52 13 45 29
si6_r001_m600.02 7 1 3 3 3 3 3 3 4
si6_r001_m600.04 7 1 6 6 5 5 6 5 27
si6_r001_m600.05 7 1 3 3 3 3 3 3 14
si2_m4Dr2_m1296.05 6 1 35 35 35 34 35 35 37
si2_m4Dr2_m1296.09 6 1 32 27 25 25 27 25 47
si2_m4Dr2_m1296.02 6 1 776 876 601 123 789 601 1418
si2_m4Dr2_m1296.07 6 1 9 9 9 9 9 9 10
si2_m4Dr2_m1296.00 6 1 28 28 28 28 28 28 29
si2_m4Dr2_m1296.06 6 1 25 25 25 25 25 25 27
si2_m4Dr2_m1296.08 6 1 30 30 30 30 30 30 30
si2_m4Dr2_m1296.01 6 1 82 82 20 20 82 20 90
si2_m4Dr2_m1296.03 6 1 22 22 22 22 22 22 23
si2_m4Dr2_m1296.04 6 1 30 30 30 30 30 30 31
si4_b06m_m800.08 4 1 21 21 21 21 21 21 22
si4_b06m_m800.00 4 1 11 11 11 11 11 11 12
si4_b06m_m800.06 4 1 18 18 18 18 18 18 19
si4_b06m_m800.05 4 1 14 14 14 14 14 14 15
si4_b06m_m800.04 4 1 18 18 18 18 18 18 19
si4_b06m_m800.09 4 1 23 23 23 23 23 23 24
si4_b06m_m800.01 4 1 12 12 12 12 12 12 13
si4_b06m_m800.07 4 1 17 17 17 17 17 17 18
si4_b06m_m800.03 4 1 20 20 20 20 20 20 21
si4_b06m_m800.02 4 1 11 11 11 11 11 11 12
si6_m4Dr2_m625.08 6 1 10 10 10 10 10 10 13
si6_m4Dr2_m625.09 6 1 12 12 12 12 12 12 13
si6_m4Dr2_m625.05 6 1 4 4 4 4 4 4 3
si6_m4Dr2_m625.01 6 1 11 11 11 11 11 11 12
si6_m4Dr2_m625.06 6 1 10 10 10 10 10 10 11
si6_m4Dr2_m625.00 6 1 20 20 20 20 20 20 21
si6_m4Dr2_m625.03 6 1 14 14 14 14 14 14 15
si6_m4Dr2_m625.02 6 1 5 5 5 5 5 5 6
si6_m4Dr2_m625.07 6 1 5 5 5 5 5 5 6
si6_m4Dr2_m625.04 6 1 2 2 2 2 2 2 3
si2_m4D_m1296.01 5 1 21 297 63 10 297 63 39
si2_m4D_m1296.08 5 1 3 3 3 3 3 3 3
si2_m4D_m1296.06 5 1 891 154 88 4 154 88 552
si2_m4D_m1296.05 5 1 2 9 16 2 9 16 2
si2_m4D_m1296.09 5 1 3 3 3 5 3 3 3
si2_m4D_m1296.03 5 1 125 83 22 23 83 22 58
si2_m4D_m1296.07 5 1 6 4 6 4 4 6 9
si2_m4D_m1296.02 5 1 5 5 5 2 5 5 5
si2_m4D_m1296.04 5 1 32 2 2 31 2 2 12
si2_m4D_m1296.00 5 1 4 4 4 4 4 4 12
si4_b03_m800.05 3 1 3 3 3 3 3 3 3
si4_b03_m800.00 3 1 3 3 3 3 3 3 3
si4_b03_m800.08 3 1 3 3 3 3 3 3 3
si4_b03_m800.09 3 1 3 3 3 3 3 3 3
si4_b03_m800.03 3 1 3 3 3 3 3 3 3
si4_b03_m800.02 3 1 3 3 3 3 3 3 3
si4_b03_m800.04 3 1 3 3 3 3 3 3 3
si4_b03_m800.01 3 1 3 3 3 3 3 3 3
si4_b03_m800.06 3 1 3 3 3 3 3 3 3
si4_b03_m800.07 3 1 3 3 3 3 3 3 3
si6_m4D_m1296.02 5 1 45 38 40 36 38 40 45
si6_m4D_m1296.07 5 1 240 683 101 196 683 101 NaN
si6_m4D_m1296.05 5 1 51 50 52 44 50 52 307
si6_m4D_m1296.09 5 1 337 153 298 126 153 298 NaN
si6_m4D_m1296.00 5 1 669 543 1004 193 543 1132 NaN
si6_m4D_m1296.08 5 1 38 52 39 29 52 39 38
si6_m4D_m1296.04 5 1 35 32 31 25 32 31 488
si6_m4D_m1296.06 5 1 362 687 496 856 687 496 NaN
si6_m4D_m1296.01 5 1 1605 1024 197 509 1018 197 NaN
si6_m4D_m1296.03 5 1 4385 1351 3285 1978 2480 4789 NaN
si6_r001_m200.05 7 1 29 24 33 29 24 33 145
si6_r001_m200.09 7 1 26 22 33 27 22 33 49
si6_r001_m200.07 7 1 12 12 13 13 12 13 13
si6_r001_m200.02 7 1 9 9 9 9 9 9 13
si6_r001_m200.01 7 1 23 22 23 25 22 23 23
si6_r001_m200.00 7 1 10 10 10 10 10 10 11
si6_r001_m200.04 7 1 17 17 17 16 17 17 28
si6_r001_m200.06 7 1 14 14 14 14 14 14 15
si6_r001_m200.08 7 1 22 22 23 23 22 23 3
si6_r001_m200.03 7 1 13 13 13 13 13 13 17
si4_b06_m400.06 3 1 3 3 3 3 3 3 3
si4_b06_m400.07 3 1 3 3 3 3 3 3 3
si4_b06_m400.09 3 1 3 3 3 3 3 3 3
si4_b06_m400.01 3 1 3 3 3 3 3 3 3
si4_b06_m400.04 3 1 3 3 3 3 3 3 3
si4_b06_m400.03 3 1 3 3 3 3 3 3 3
si4_b06_m400.00 3 1 3 3 3 3 3 3 3
si4_b06_m400.05 3 1 3 3 3 3 3 3 3
si4_b06_m400.08 3 1 3 3 3 3 3 3 3
si4_b06_m400.02 3 1 3 3 3 3 3 3 3
si2_m4Dr6_m256.06 6 1 38 46 19 18 46 19 422
si2_m4Dr6_m256.05 6 1 11 14 10 14 14 10 11
si2_m4Dr6_m256.09 6 1 8 8 8 8 8 8 9
si2_m4Dr6_m256.00 6 1 34 34 27 11 34 27 200
si2_m4Dr6_m256.07 6 1 9 9 9 9 9 9 16
si2_m4Dr6_m256.04 6 1 15 15 11 10 15 11 60
si2_m4Dr6_m256.02 6 1 16 29 18 18 29 18 102
si2_m4Dr6_m256.01 6 1 21 23 20 18 23 20 53
si2_m4Dr6_m256.08 6 1 117 73 151 63 73 151 1054
si2_m4Dr6_m256.03 6 1 11 12 12 9 12 12 27
si6_r01_m200.04 7 1 10 52 313 756 52 313 137
si6_r01_m200.08 7 1 310 198 265 408 198 265 2244
si6_r01_m200.02 7 1 1497 1274 3573 3646 2433 1284 1607
si6_r01_m200.09 7 1 158 2147 14876 16169 1855 13020 1493
si6_r01_m200.07 7 1 487 523 1056 1298 523 1289 2567
si6_r01_m200.00 7 1 2703 3100 1838 2382 2073 2379 44099
si6_r01_m200.01 7 1 192 263 19465 56990 263 5222 5216
si6_r01_m200.03 7 1 8177 9047 7939 6301 10116 5769 98529
si6_r01_m200.05 7 1 1892 1602 16493 16129 692 8485 2487
si6_r01_m200.06 7 1 860 1850 4647 10586 1128 1450 909
si2_b03m_m800.03 4 1 60 60 60 60 60 60 6
si2_b03m_m800.02 4 1 54 54 54 54 54 54 55
si2_b03m_m800.09 4 1 52 52 52 52 52 52 5
si2_b03m_m800.04 4 1 40 40 40 40 40 40 41
si2_b03m_m800.06 4 1 54 61 54 61 61 54 7
si2_b03m_m800.05 4 1 51 51 51 51 51 51 52
si2_b03m_m800.01 4 1 38 38 38 38 38 38 7
si2_b03m_m800.08 4 1 48 48 48 48 48 48 6
si2_b03m_m800.07 4 1 36 36 36 36 36 36 37
si2_b03m_m800.00 4 1 46 46 46 46 46 46 47
si2_r001_m200.06 7 1 29 29 1097 1129 29 695 466
si2_r001_m200.01 7 1 98 163 67 88 163 67 700
si2_r001_m200.02 7 1 11486 69 255 269 69 255 1164
si2_r001_m200.07 7 1 34 22 22 27 22 22 154
si2_r001_m200.04 7 1 70 62 56 59 62 56 145
si2_r001_m200.05 7 1 NaN 238250615 4018395 27 4100 706 157
si2_r001_m200.09 7 1 111 35 94 29 35 94 67
si2_r001_m200.03 7 1 31 30 29 24 30 29 118
si2_r001_m200.00 7 1 37 38 28 30 38 28 164
si2_r001_m200.08 7 1 102 107 144 23 107 144 257
si6_b03m_m800.01 4 1 35 35 35 35 35 35 36
si6_b03m_m800.08 4 1 21 21 21 21 21 21 22
si6_b03m_m800.03 4 1 26 26 26 26 26 26 27
si6_b03m_m800.00 4 1 29 29 29 29 29 29 30
si6_b03m_m800.04 4 1 44 44 44 44 44 44 45
si6_b03m_m800.05 4 1 33 33 33 33 33 33 34
si6_b03m_m800.07 4 1 32 32 32 32 32 32 33
si6_b03m_m800.06 4 1 47 47 47 46 47 47 48
si6_b03m_m800.09 4 1 35 35 35 35 35 35 36
si6_b03m_m800.02 4 1 33 33 33 33 33 33 34
si4_r005_m200.00 7 1 1450 1335 1215 3160 1590 3345 6383
si4_r005_m200.08 7 1 96 48 265 497 48 265 872
si4_r005_m200.02 7 1 944 1014 422 255 931 422 43729
si4_r005_m200.05 7 1 67 26 189 224 26 189 406
si4_r005_m200.06 7 1 86 103 141 149 103 141 387
si4_r005_m200.04 7 1 925 236 216 10451 236 216 2775
si4_r005_m200.07 7 1 535 424 1418 1561 424 803 6802
si4_r005_m200.09 7 1 591 856 164 2182 1441 164 5795
si4_r005_m200.01 7 1 48 209 177 1694 209 177 748
si4_r005_m200.03 7 1 1051 1380 1761 1430 1656 1784 9732
si6_b09m_m400.03 4 1 3 3 3 3 3 3 4
si6_b09m_m400.07 4 1 1 1 1 1 1 1 2
si6_b09m_m400.00 4 1 1 1 1 1 1 1 2
si6_b09m_m400.04 4 1 3 3 3 3 3 3 4
si6_b09m_m400.06 4 1 2 2 2 2 2 2 3
si6_b09m_m400.08 4 1 2 2 2 2 2 2 3
si6_b09m_m400.02 4 1 3 3 3 3 3 3 4
si6_b09m_m400.05 4 1 2 2 2 2 2 2 3
si6_b09m_m400.09 4 1 3 3 3 3 3 3 4
si6_b09m_m400.01 4 1 3 3 3 3 3 3 4
si2_b09_m200.08 3 1 3 3 3 3 3 3 3
si2_b09_m200.01 3 1 3 3 3 3 3 3 3
si2_b09_m200.06 3 1 3 3 3 3 3 3 3
si2_b09_m200.05 3 1 3 3 3 3 3 3 3
si2_b09_m200.00 3 1 3 3 3 3 3 3 3
si2_b09_m200.02 3 1 4 4 4 4 4 4 4
si2_b09_m200.03 3 1 3 3 3 3 3 3 3
si2_b09_m200.04 3 1 3 3 3 3 3 3 3
si2_b09_m200.09 3 1 3 3 3 3 3 3 3
si2_b09_m200.07 3 1 3 3 3 3 3 3 3
si6_r01_m600.02 7 1 10920 8900 150189 390689 16624 140645 5693
si6_r01_m600.06 7 1 11 11874 345019 535090 674 296855 147
si6_r01_m600.09 7 1 51372 74190 102008 220099 45476 231536 48707
si6_r01_m600.08 7 1 1075947 1397780 1456291 1708613 1011567 2197457 NaN
si6_r01_m600.05 7 1 575 9792 295264 475292 2743 286059 1412
si6_r01_m600.07 7 1 42329 54710 184899 920179 61397 944899 28401
si6_r01_m600.03 7 1 13762 15860 5589 273791 14877 210238 4499
si6_r01_m600.00 7 1 5197 5131 17838 51049 7244 16789 55555
si6_r01_m600.01 7 1 5065 5416 2919414 4727371 5268 583565 329093
si6_r01_m600.04 7 1 258919 145268 3014264 2899267 188191 913736 167029
si2_b06_m200.02 3 1 3 3 3 3 3 3 3
si2_b06_m200.00 3 1 3 3 3 3 3 3 3
si2_b06_m200.01 3 1 3 3 3 3 3 3 3
si2_b06_m200.06 3 1 3 3 3 3 3 3 3
si2_b06_m200.09 3 1 3 3 3 3 3 3 3
si2_b06_m200.07 3 1 3 3 3 3 3 3 3
si2_b06_m200.04 3 1 3 3 3 3 3 3 3
si2_b06_m200.08 3 1 3 3 3 3 3 3 3
si2_b06_m200.03 3 1 3 3 3 3 3 3 3
si2_b06_m200.05 3 1 3 3 3 3 3 3 3
si6_m4Dr2_m1296.05 6 1 9 9 9 9 9 9 10
si6_m4Dr2_m1296.09 6 1 6 6 6 6 6 6 7
si6_m4Dr2_m1296.01 6 1 14 14 14 14 14 14 15
si6_m4Dr2_m1296.06 6 1 15 15 15 15 15 15 16
si6_m4Dr2_m1296.07 6 1 11 11 11 11 11 11 12
si6_m4Dr2_m1296.03 6 1 8 8 8 8 8 8 9
si6_m4Dr2_m1296.04 6 1 13 13 13 13 13 13 14
si6_m4Dr2_m1296.00 6 1 16 16 16 16 16 16 17
si6_m4Dr2_m1296.08 6 1 10 10 10 10 10 10 11
si6_m4Dr2_m1296.02 6 1 19 19 19 19 19 19 20
si2_b09m_m800.09 4 1 15 15 15 15 15 15 16
si2_b09m_m800.07 4 1 25 22 22 22 22 22 26
si2_b09m_m800.00 4 1 14 14 14 14 14 14 15
si2_b09m_m800.04 4 1 18 18 18 18 18 18 19
si2_b09m_m800.02 4 1 12 12 12 12 12 12 13
si2_b09m_m800.05 4 1 14 14 14 14 14 14 15
si2_b09m_m800.03 4 1 12 12 12 12 12 12 14
si2_b09m_m800.08 4 1 21 21 21 21 21 21 22
si2_b09m_m800.06 4 1 7 7 7 7 7 7 8
si2_b09m_m800.01 4 1 10 10 10 10 10 10 11
si4_b03_m400.01 3 1 3 3 3 3 3 3 3
si4_b03_m400.02 3 1 3 3 3 3 3 3 3
si4_b03_m400.05 3 1 3 3 3 3 3 3 3
si4_b03_m400.07 3 1 3 3 3 3 3 3 3
si4_b03_m400.06 3 1 3 3 3 3 3 3 3
si4_b03_m400.00 3 1 3 3 3 3 3 3 3
si4_b03_m400.03 3 1 3 3 3 3 3 3 3
si4_b03_m400.04 3 1 3 3 3 3 3 3 3
si4_b03_m400.09 3 1 3 3 3 3 3 3 3
si4_b03_m400.08 3 1 3 3 3 3 3 3 3
si2_b03_m200.05 3 1 3 3 3 3 3 3 3
si2_b03_m200.09 3 1 3 3 3 3 3 3 3
si2_b03_m200.07 3 1 3 3 3 3 3 3 3
si2_b03_m200.01 3 1 3 3 3 3 3 3 3
si2_b03_m200.08 3 1 3 3 3 3 3 3 3
si2_b03_m200.02 3 1 3 3 3 3 3 3 3
si2_b03_m200.04 3 1 3 3 3 3 3 3 3
si2_b03_m200.03 3 1 3 3 3 3 3 3 3
si2_b03_m200.06 3 1 3 3 3 3 3 3 3
si2_b03_m200.00 3 1 3 3 3 3 3 3 3
si4_r005_m600.00 7 1 16352 13573 47555 129334 20239 62658 45619
si4_r005_m600.02 7 1 8386 8361 30519 32455 7325 19945 212357
si4_r005_m600.08 7 1 120877 121192 159265 199990 165020 15338 6153567
si4_r005_m600.05 7 1 41360 58426 118907 105153 15965 138399 1694089
si4_r005_m600.07 7 1 19140 19422 49635 63852 17467 78449 390766
si4_r005_m600.06 7 1 53301 59210 233687 479821 36898 156679 447400
si4_r005_m600.01 7 1 8116 4270 24266 151739 3287 145904 58098
si4_r005_m600.04 7 1 39856 47232 1045 107633 23844 39784 1086175
si4_r005_m600.03 7 1 5262 4341 37467 35129 7669 28581 10104
si4_r005_m600.09 7 1 970 2454 4687 28801 1115 11114 13590
si4_b09_m400.05 3 1 3 3 3 3 3 3 3
si4_b09_m400.03 3 1 3 3 3 3 3 3 3
si4_b09_m400.00 3 1 3 3 3 3 3 3 3
si4_b09_m400.07 3 1 3 3 3 3 3 3 3
si4_b09_m400.01 3 1 3 3 3 3 3 3 3
si4_b09_m400.06 3 1 3 3 3 3 3 3 3
