instance family sat restarting3 restarting3con10000 parallel3t32 parallel3t32con10000 nonsharing3t32 mpi3h6t16npn2bt32con10000
si2_r001_m600.09 7 1 20 21 118 115 96 86
si2_m4Dr2_m256.09 6 1 4 3 34 35 29 34
si2_m4Dr2_m256.03 6 1 4 5 33 30 32 35
si2_m4Dr2_m256.04 6 1 5 8 31 27 27 35
si2_m4Dr2_m256.07 6 1 3 3 32 32 28 34
si2_m4Dr2_m256.00 6 1 2 2 25 26 29 34
si2_m4Dr2_m256.06 6 1 9 4 30 31 32 35
si2_m4Dr2_m256.08 6 1 2 1 29 27 28 34
si2_m4Dr2_m256.05 6 1 2 3 28 31 29 34
si2_m4Dr2_m256.01 6 1 2 2 33 30 32 34
si2_m4Dr2_m256.02 6 1 2 2 30 34 30 34
si6_r001_m600.09 7 1 46 54 261 283 245 194
si6_r001_m600.00 7 1 46 47 258 236 252 204
si6_r001_m600.07 7 1 46 48 274 269 230 208
si6_r001_m600.03 7 1 50 56 275 286 253 194
si6_r001_m600.01 7 1 48 75 266 278 272 198
si6_r001_m600.06 7 1 63 61 256 295 230 201
si6_r001_m600.08 7 1 49 52 261 239 237 206
si6_r001_m600.02 7 1 47 50 248 265 253 196
si6_r001_m600.04 7 1 48 47 265 273 243 193
si6_r001_m600.05 7 1 65 51 284 292 233 200
si2_m4Dr2_m1296.05 6 1 44 57 323 334 286 213
si2_m4Dr2_m1296.09 6 1 65 54 350 336 338 224
si2_m4Dr2_m1296.02 6 1 210 193 371 330 302 217
si2_m4Dr2_m1296.07 6 1 41 41 331 308 295 219
si2_m4Dr2_m1296.00 6 1 46 49 310 376 308 215
si2_m4Dr2_m1296.06 6 1 46 73 323 305 349 218
si2_m4Dr2_m1296.08 6 1 61 46 351 321 292 212
si2_m4Dr2_m1296.01 6 1 69 49 345 330 294 237
si2_m4Dr2_m1296.03 6 1 49 42 315 318 288 223
si2_m4Dr2_m1296.04 6 1 39 40 337 344 278 211
si4_b06m_m800.08 4 1 31 44 261 256 248 176
si4_b06m_m800.00 4 1 36 43 273 253 258 174
si4_b06m_m800.06 4 1 29 42 259 262 257 180
si4_b06m_m800.05 4 1 28 44 259 265 248 176
si4_b06m_m800.04 4 1 47 28 264 270 240 179
si4_b06m_m800.09 4 1 28 35 246 244 252 182
si4_b06m_m800.01 4 1 32 36 261 283 250 182
si4_b06m_m800.07 4 1 29 40 264 279 254 179
si4_b06m_m800.03 4 1 34 49 274 263 266 181
si4_b06m_m800.02 4 1 30 30 271 264 259 180
si6_m4Dr2_m625.08 6 1 30 37 259 252 254 186
si6_m4Dr2_m625.09 6 1 29 29 261 262 250 183
si6_m4Dr2_m625.05 6 1 31 46 279 307 246 183
si6_m4Dr2_m625.01 6 1 27 46 265 253 271 177
si6_m4Dr2_m625.06 6 1 31 45 265 276 231 181
si6_m4Dr2_m625.00 6 1 30 23 258 250 267 181
si6_m4Dr2_m625.03 6 1 28 29 235 266 248 183
si6_m4Dr2_m625.02 6 1 31 31 257 261 252 179
si6_m4Dr2_m625.07 6 1 29 39 256 269 270 178
si6_m4Dr2_m625.04 6 1 30 41 255 270 249 181
si2_m4D_m1296.01 5 1 143 153 334 313 308 197
si2_m4D_m1296.08 5 1 40 36 352 335 315 212
si2_m4D_m1296.06 5 1 104 82 296 318 266 205
si2_m4D_m1296.05 5 1 42 40 339 316 307 216
si2_m4D_m1296.09 5 1 46 42 358 366 313 218
si2_m4D_m1296.03 5 1 58 57 315 303 284 198
si2_m4D_m1296.07 5 1 50 52 337 308 278 214
si2_m4D_m1296.02 5 1 35 41 342 324 312 227
si2_m4D_m1296.04 5 1 49 41 309 318 287 224
si2_m4D_m1296.00 5 1 52 51 338 333 297 236
si4_b03_m800.05 3 1 31 28 282 275 269 186
si4_b03_m800.00 3 1 31 40 266 281 258 184
si4_b03_m800.08 3 1 42 46 254 248 258 182
si4_b03_m800.09 3 1 43 32 241 265 247 186
si4_b03_m800.03 3 1 49 51 254 253 257 189
si4_b03_m800.02 3 1 30 51 252 277 241 181
si4_b03_m800.04 3 1 30 46 267 270 281 181
si4_b03_m800.01 3 1 65 52 269 254 242 183
si4_b03_m800.06 3 1 52 38 264 259 247 189
si4_b03_m800.07 3 1 31 55 271 271 249 183
si6_m4D_m1296.02 5 1 127 106 828 816 743 519
si6_m4D_m1296.07 5 1 555 487 843 858 842 551
si6_m4D_m1296.05 5 1 117 138 847 843 866 530
si6_m4D_m1296.09 5 1 198 189 927 913 897 530
si6_m4D_m1296.00 5 1 261 284 936 951 836 534
si6_m4D_m1296.08 5 1 147 114 928 899 757 522
si6_m4D_m1296.04 5 1 104 137 758 762 765 511
si6_m4D_m1296.06 5 1 582 558 812 780 749 492
si6_m4D_m1296.01 5 1 456 578 916 718 906 539
si6_m4D_m1296.03 5 1 1213 593 1397 1168 1094 580
si6_r001_m200.05 7 1 6 4 47 44 40 41
si6_r001_m200.09 7 1 4 7 44 35 29 40
si6_r001_m200.07 7 1 7 3 43 42 35 40
si6_r001_m200.02 7 1 4 4 32 29 24 41
si6_r001_m200.01 7 1 3 2 47 45 40 42
si6_r001_m200.00 7 1 2 5 25 34 29 41
si6_r001_m200.04 7 1 2 2 37 41 40 41
si6_r001_m200.06 7 1 2 2 36 38 34 40
si6_r001_m200.08 7 1 3 2 33 43 33 41
si6_r001_m200.03 7 1 2 2 41 42 31 42
si4_b06_m400.06 3 1 9 9 103 96 94 70
si4_b06_m400.07 3 1 9 9 92 100 67 73
si4_b06_m400.09 3 1 9 9 97 102 89 65
si4_b06_m400.01 3 1 9 12 99 100 73 73
si4_b06_m400.04 3 1 11 13 99 97 82 71
si4_b06_m400.03 3 1 9 9 94 95 85 72
si4_b06_m400.00 3 1 11 9 97 93 73 72
si4_b06_m400.05 3 1 9 9 94 92 70 73
si4_b06_m400.08 3 1 8 14 84 101 84 70
si4_b06_m400.02 3 1 7 9 102 97 82 73
si2_m4Dr6_m256.06 6 1 3 3 30 32 29 35
si2_m4Dr6_m256.05 6 1 2 2 33 31 30 34
si2_m4Dr6_m256.09 6 1 2 2 29 30 29 34
si2_m4Dr6_m256.00 6 1 3 2 33 36 28 34
si2_m4Dr6_m256.07 6 1 2 3 30 30 32 34
si2_m4Dr6_m256.04 6 1 2 2 34 29 28 34
si2_m4Dr6_m256.02 6 1 5 2 31 31 31 34
si2_m4Dr6_m256.01 6 1 3 2 28 30 28 34
si2_m4Dr6_m256.08 6 1 2 3 29 30 30 34
si2_m4Dr6_m256.03 6 1 2 2 34 34 28 34
si6_r01_m200.04 7 1 36 23 78 64 68 73
si6_r01_m200.08 7 1 27 44 79 79 78 71
si6_r01_m200.02 7 1 63 42 72 90 85 70
si6_r01_m200.09 7 1 53 59 67 70 64 70
si6_r01_m200.07 7 1 50 33 69 69 47 68
si6_r01_m200.00 7 1 49 69 107 103 84 68
si6_r01_m200.01 7 1 22 31 63 66 75 71
si6_r01_m200.03 7 1 169 174 155 122 175 70
si6_r01_m200.05 7 1 30 42 78 79 81 79
si6_r01_m200.06 7 1 58 50 56 67 68 67
si2_b03m_m800.03 4 1 17 12 171 210 139 104
si2_b03m_m800.02 4 1 11 12 158 195 142 105
si2_b03m_m800.09 4 1 14 11 180 167 142 106
si2_b03m_m800.04 4 1 12 17 160 163 139 103
si2_b03m_m800.06 4 1 13 20 163 141 144 113
si2_b03m_m800.05 4 1 12 11 176 147 162 105
si2_b03m_m800.01 4 1 15 13 146 148 115 104
si2_b03m_m800.08 4 1 13 12 182 151 136 105
si2_b03m_m800.07 4 1 19 14 135 153 135 104
si2_b03m_m800.00 4 1 12 12 182 124 146 113
si2_r001_m200.06 7 1 1 1 26 24 21 30
si2_r001_m200.01 7 1 2 1 22 22 23 29
si2_r001_m200.02 7 1 1 1 20 25 22 30
si2_r001_m200.07 7 1 1 1 23 23 23 30
si2_r001_m200.04 7 1 1 2 24 26 24 29
si2_r001_m200.05 7 1 8 48 24 24 23 30
si2_r001_m200.09 7 1 1 1 21 26 23 30
si2_r001_m200.03 7 1 2 1 24 23 23 31
si2_r001_m200.00 7 1 1 1 23 23 23 30
si2_r001_m200.08 7 1 3 1 23 22 24 29
si6_b03m_m800.01 4 1 36 33 374 423 364 243
si6_b03m_m800.08 4 1 40 36 380 426 365 244
si6_b03m_m800.03 4 1 38 54 366 375 360 244
si6_b03m_m800.00 4 1 37 45 334 367 340 245
si6_b03m_m800.04 4 1 38 32 389 432 379 243
si6_b03m_m800.05 4 1 60 39 389 385 376 244
si6_b03m_m800.07 4 1 57 38 366 406 376 241
si6_b03m_m800.06 4 1 43 32 368 398 362 240
si6_b03m_m800.09 4 1 50 37 416 396 353 244
si6_b03m_m800.02 4 1 40 37 387 313 352 243
si4_r005_m200.00 7 1 21 23 50 35 46 47
si4_r005_m200.08 7 1 14 14 38 39 39 38
si4_r005_m200.02 7 1 15 15 40 46 35 46
si4_r005_m200.05 7 1 8 11 37 38 34 47
si4_r005_m200.06 7 1 9 9 38 36 36 48
si4_r005_m200.04 7 1 9 14 31 37 27 48
si4_r005_m200.07 7 1 11 11 29 36 38 47
si4_r005_m200.09 7 1 20 18 42 40 39 48
si4_r005_m200.01 7 1 9 9 35 30 35 46
si4_r005_m200.03 7 1 19 19 38 40 32 47
si6_b09m_m400.03 4 1 18 13 134 129 121 95
si6_b09m_m400.07 4 1 13 15 129 124 120 91
si6_b09m_m400.00 4 1 14 23 121 136 129 88
si6_b09m_m400.04 4 1 13 13 127 125 100 89
si6_b09m_m400.06 4 1 18 14 140 126 104 93
si6_b09m_m400.08 4 1 21 11 114 135 116 93
si6_b09m_m400.02 4 1 13 14 121 130 125 95
si6_b09m_m400.05 4 1 15 22 123 128 125 92
si6_b09m_m400.09 4 1 11 15 134 131 121 95
si6_b09m_m400.01 4 1 16 13 121 107 107 94
si2_b09_m200.08 3 1 2 2 24 25 21 33
si2_b09_m200.01 3 1 4 1 24 26 22 32
si2_b09_m200.06 3 1 3 2 24 21 25 31
si2_b09_m200.05 3 1 2 2 24 23 23 32
si2_b09_m200.00 3 1 2 4 26 26 26 32
si2_b09_m200.02 3 1 4 2 25 25 24 32
si2_b09_m200.03 3 1 2 2 24 25 26 32
si2_b09_m200.04 3 1 3 1 23 25 25 31
si2_b09_m200.09 3 1 2 2 28 26 26 31
si2_b09_m200.07 3 1 3 2 24 24 23 32
si6_r01_m600.02 7 1 2998 1882 1454 2107 1440 902
si6_r01_m600.06 7 1 461 2081 665 579 584 595
si6_r01_m600.09 7 1 6991 5561 668 2855 715 659
si6_r01_m600.08 7 1 94244 113133 15172 14520 35305 3305
si6_r01_m600.05 7 1 879 1939 674 626 634 636
si6_r01_m600.07 7 1 8776 12654 2899 3114 3477 1469
si6_r01_m600.03 7 1 2596 2650 878 1189 747 1058
si6_r01_m600.00 7 1 1901 1379 1177 1029 801 657
si6_r01_m600.01 7 1 1062 938 831 984 1091 857
si6_r01_m600.04 7 1 18149 16779 2645 3780 2653 1476
si2_b06_m200.02 3 1 2 1 19 17 24 31
si2_b06_m200.00 3 1 2 1 24 22 17 31
si2_b06_m200.01 3 1 3 3 17 19 20 32
si2_b06_m200.06 3 1 2 2 17 19 17 32
si2_b06_m200.09 3 1 2 2 26 25 17 31
