instance family sat restarting3 restarting3con10000 parallel3t32 parallel3t32con10000 nonsharing3t32 mpi3h6t16npn2bt32con10000
g18-g27 2 0 0 0 8 9 9 2
g18-g28 2 0 0 0 10 9 10 0
g18-g29 2 1 39727 7153 8175 1092 725 39
g18-g30 2 1 53970 363 2023 143 471 34
g18-g31 2 1 2501 587 421 39 102 32
g18-g32 2 1 8 13 19 18 17 40
g18-g33 2 0 14 14 41 45 35 57
g18-g34 2 0 0 1 9 10 11 1
g18-g35 2 0 3 2 23 23 19 31
g18-g36 2 0 1 1 10 11 9 1
g18-g37 2 0 24640 24176 2758 2630 20784 953
g18-g38 2 0 1 0 11 10 9 1
g18-g39 2 0 22 23 33 46 44 72
g18-g40 2 1 4 4 21 24 18 37
g18-g41 2 0 31 35 43 45 39 66
g18-g42 2 0 352 358 127 167 414 194
g18-g43 2 X NaN NaN NaN NaN NaN NaN
g18-g44 2 1 NaN NaN NaN NaN NaN 2393
g18-g45 2 1 NaN NaN NaN NaN NaN 1369
g18-g46 2 X NaN NaN NaN NaN NaN NaN
g18-g47 2 X NaN NaN NaN NaN NaN NaN
g18-g48 2 X NaN NaN NaN NaN NaN NaN
g18-g49 2 X NaN NaN NaN NaN NaN NaN
g18-g50 2 1 9 5 24 24 23 39
g19-g20 2 X NaN NaN NaN NaN NaN NaN
g19-g21 2 1 2 2 19 19 18 31
g19-g22 2 0 1 1 8 9 7 1
g19-g23 2 0 1 1 7 8 8 1
g19-g25 2 0 0 0 8 8 8 1
g19-g26 2 0 1 1 8 8 8 1
g19-g27 2 0 207516 174981 32322 20852 214420 5660
g19-g28 2 0 0 0 7 9 8 1
g19-g29 2 0 NaN NaN NaN 710425 NaN 142126
g19-g30 2 0 NaN NaN NaN 530402 NaN 107630
g19-g31 2 X NaN NaN NaN NaN NaN NaN
g19-g32 2 1 8 8 18 16 19 41
g19-g33 2 0 0 1 7 8 8 1
g19-g35 2 0 0 1 9 10 9 1
g19-g37 2 0 6 5 22 22 18 34
g19-g38 2 0 0 0 8 9 7 1
g19-g40 2 1 8 6 24 23 22 37
g19-g41 2 0 1 1 9 9 11 1
g19-g42 2 0 2 1 22 22 14 31
g19-g43 2 0 NaN NaN NaN 790625 NaN 143252
g19-g44 2 X NaN NaN NaN NaN NaN NaN
g19-g45 2 X NaN NaN NaN NaN NaN NaN
g19-g46 2 0 4774 4839 791 1119 3912 411
g19-g47 2 0 4577 5419 664 1081 3914 413
g19-g48 2 0 15521 15894 3003 2800 15377 807
g19-g49 2 0 30740 27648 4632 3945 33857 1395
g19-g50 2 1 6 6 17 19 19 38
g2-g10 2 1 0 0 13 13 7 25
g2-g11 2 1 0 0 13 12 8 24
g2-g12 2 1 0 0 12 13 8 25
g2-g13 2 1 0 0 14 13 13 25
g2-g14 2 1 0 0 10 10 9 25
g2-g15 2 1 0 0 9 10 12 25
g2-g16 2 1 0 0 13 13 9 25
g2-g17 2 1 0 0 13 12 8 26
g2-g18 2 1 0 0 13 13 9 24
g2-g19 2 1 0 0 14 13 14 24
g2-g20 2 1 0 0 13 14 9 25
g2-g21 2 1 1 1 10 12 14 27
g2-g22 2 1 0 0 13 15 9 24
g2-g23 2 1 0 0 14 12 9 24
g2-g24 2 0 1 0 13 14 10 26
g2-g25 2 1 0 0 13 14 14 25
g2-g26 2 1 0 0 15 13 9 25
g2-g27 2 1 1 0 14 13 14 25
g2-g28 2 1 0 0 14 13 11 25
g2-g29 2 1 2 1 13 13 11 28
g2-g3 2 0 0 0 14 14 9 23
g2-g30 2 1 2 1 14 14 16 27
g2-g31 2 1 1 1 13 14 10 27
g2-g32 2 1 5 5 14 15 14 37
g2-g33 2 1 0 0 13 13 11 25
g2-g34 2 1 0 0 13 14 11 25
g2-g35 2 1 0 0 13 13 10 25
g2-g36 2 1 0 0 14 14 16 25
g2-g37 2 1 1 1 13 14 10 26
g2-g38 2 1 0 0 14 14 13 24
g2-g39 2 1 0 0 15 13 11 25
g2-g4 2 1 0 0 13 12 9 24
g2-g40 2 1 3 4 15 15 12 32
g2-g41 2 1 0 0 14 15 16 25
g2-g42 2 1 0 0 15 15 12 26
g2-g43 2 1 1 1 14 14 15 27
g2-g44 2 1 2 2 14 14 13 28
g2-g45 2 1 2 2 15 16 13 28
g2-g46 2 1 2 1 16 16 15 28
g2-g47 2 1 2 1 15 16 15 28
g2-g48 2 1 2 2 15 16 11 29
g2-g49 2 1 1 1 15 14 14 27
g2-g5 2 1 0 0 13 11 11 24
g2-g50 2 1 5 5 16 15 14 32
g2-g6 2 1 0 0 12 13 12 24
g2-g7 2 1 0 0 13 13 13 24
g2-g8 2 1 0 0 13 13 11 26
g2-g9 2 1 0 0 12 13 13 24
g20-g21 2 1 16 17 19 20 20 35
g20-g23 2 0 1 1 7 8 8 2
g20-g26 2 0 1 1 10 8 10 2
g20-g27 2 0 1 1 11 11 9 3
g20-g29 2 0 2 2 8 9 7 5
g20-g30 2 0 2 2 9 9 8 4
g20-g31 2 0 3 3 8 9 9 5
g20-g32 2 1 9 18 29 25 26 45
g20-g38 2 0 1 1 10 9 9 2
g20-g40 2 X NaN NaN NaN NaN NaN NaN
g20-g43 2 0 2 2 10 10 9 3
g20-g44 2 0 2 2 10 12 10 5
g20-g45 2 0 3 3 10 10 10 5
g20-g48 2 0 5 3 9 10 10 5
g20-g50 2 X NaN NaN NaN NaN NaN NaN
g21-g27 2 0 2 2 8 10 9 5
g21-g32 2 1 11 9 29 28 29 46
g21-g40 2 0 7 7 13 13 13 13
g21-g50 2 0 8 7 10 11 12 12
g22-g23 2 0 1 1 9 9 10 2
g22-g25 2 0 0 1 8 9 8 1
g22-g26 2 0 2 0 12 10 10 1
g22-g27 2 0 21 24 35 43 38 58
g22-g28 2 0 0 0 9 10 8 1
g22-g29 2 0 4 2 24 24 22 33
g22-g30 2 0 4 4 22 23 23 35
g22-g31 2 0 6 6 23 22 21 36
g22-g32 2 1 6 8 24 20 23 41
g22-g33 2 0 1 1 20 20 21 29
g22-g37 2 1 2 2 26 24 21 31
g22-g38 2 0 1 0 10 10 10 1
g22-g40 2 1 6 6 26 24 23 38
g22-g43 2 X NaN NaN NaN NaN NaN NaN
g22-g44 2 0 3 4 27 26 26 35
g22-g45 2 0 6 3 27 26 21 37
g22-g46 2 0 3 3 26 26 25 35
g22-g47 2 0 3 3 24 22 24 35
g22-g48 2 0 4 4 24 25 24 35
g22-g49 2 X NaN NaN NaN NaN NaN NaN
g22-g50 2 1 8 28 26 25 23 38
g23-g27 2 0 2 2 20 21 19 29
g23-g32 2 1 8 8 24 24 26 41
g23-g40 2 1 13 194 28 25 26 40
g23-g50 2 1 8 8 27 24 28 43
g24-g25 2 0 0 0 8 8 8 0
g24-g26 2 1 4 18 16 15 18 27
g24-g27 2 1 1 1 18 18 16 28
g24-g28 2 0 0 0 16 16 19 26
g24-g29 2 X NaN NaN NaN NaN NaN NaN
g24-g30 2 X NaN NaN NaN NaN NaN NaN
g24-g31 2 X NaN NaN NaN NaN NaN NaN
g24-g32 2 1 6 6 21 19 20 29
g24-g33 2 0 0 0 17 18 19 28
g24-g35 2 0 0 1 20 21 20 28
g24-g36 2 0 1 1 20 20 21 28
g24-g37 2 1 2 2 22 19 19 30
g24-g38 2 0 1 1 19 20 18 28
g24-g39 2 0 1 1 19 18 16 29
g24-g40 2 1 4 3 23 22 21 35
g24-g41 2 0 1 1 21 21 15 28
g24-g42 2 1 6 16 22 21 19 29
g24-g43 2 1 2 2 21 21 19 30
g24-g44 2 0 6 6 24 23 21 34
g24-g45 2 0 3 5 21 21 20 35
g24-g46 2 0 1 2 21 21 19 32
g24-g47 2 0 2 1 22 20 17 32
g24-g48 2 0 2 3 23 21 21 33
g24-g49 2 1 2 2 19 19 19 30
g24-g50 2 1 6 6 23 23 22 37
g25-g26 2 1 1 0 16 17 15 26
g25-g27 2 0 280 275 201 214 260 159
g25-g29 2 0 2 1 19 17 12 30
g25-g30 2 0 2 3 18 17 16 30
g25-g31 2 0 3 2 19 18 17 30
g25-g32 2 1 8 8 18 18 16 37
g25-g38 2 0 0 0 15 14 15 26
g25-g40 2 1 3 4 17 18 13 34
g25-g43 2 1 1 1 20 19 15 29
g25-g44 2 0 3 3 20 20 18 31
g25-g45 2 0 4 4 20 20 19 32
g25-g46 2 0 3 3 18 18 16 30
g25-g47 2 0 2 2 17 17 18 30
g25-g48 2 0 2 3 18 20 13 30
g25-g49 2 1 12 34 21 17 15 29
g25-g50 2 1 5 5 21 20 19 37
g26-g27 2 0 2 2 21 23 22 30
g26-g32 2 1 9 9 25 25 23 42
g26-g40 2 1 5 4 23 20 20 39
g26-g50 2 1 7 5 30 26 14 42
g27-g32 2 1 13 17 23 31 26 47
g27-g50 2 1 11 47 39 37 26 46
g28-g29 2 1 3 2 22 23 20 33
g28-g30 2 1 3 3 24 24 18 33
g28-g31 2 1 2 3 21 21 23 34
g28-g32 2 1 7 6 22 22 16 42
g28-g33 2 0 1 1 20 19 20 29
g28-g37 2 1 36394 65611 5139 5958 1892 2066
g28-g38 2 0 1 1 9 9 9 1
g28-g40 2 1 6 7 28 23 24 38
g28-g43 2 1 416540 188560 26303 274960 3310 294
g28-g44 2 1 3 3 22 21 19 34
g28-g45 2 1 5 3 25 21 23 35
g28-g46 2 1 3 2 26 27 18 35
g28-g47 2 1 3 4 28 28 23 34
g28-g48 2 1 4 4 25 27 25 35
g28-g49 2 1 6596 8591 2204 3126 821 289
g28-g50 2 1 4 6 26 27 15 31
g29-g30 2 0 4 4 11 10 13 7
g29-g31 2 1 4 6 26 26 26 40
g29-g32 2 1 16 16 36 37 27 53
g29-g40 2 X NaN NaN NaN NaN NaN NaN
g29-g44 2 0 4 4 10 9 8 7
g29-g45 2 0 4 4 12 10 12 8
g29-g50 2 0 11 11 18 18 20 19
g3-g10 2 0 0 0 12 13 12 25
g3-g11 2 0 0 0 13 12 13 24
g3-g12 2 0 0 0 14 14 7 25
g3-g13 2 1 0 0 14 13 10 25
g3-g14 2 1 0 0 12 13 12 24
g3-g15 2 1 0 0 11 11 9 25
g3-g16 2 1 0 0 13 12 12 25
g3-g17 2 0 0 0 14 14 13 24
g3-g18 2 0 0 0 13 12 6 25
g3-g19 2 0 0 0 15 14 10 24
g3-g20 2 1 0 0 13 11 14 25
g3-g21 2 1 1 1 13 13 10 28
g3-g22 2 1 0 0 13 13 15 25
g3-g23 2 1 0 0 13 14 13 25
g3-g24 2 0 0 0 14 15 8 24
g3-g25 2 1 0 0 14 15 10 25
g3-g26 2 1 0 0 14 14 15 25
g3-g27 2 1 0 1 14 13 12 27
g3-g28 2 0 0 0 8 8 7 0
g3-g29 2 1 2 1 14 14 14 28
g3-g30 2 1 1 2 15 15 15 28
g3-g31 2 1 2 2 15 14 10 28
g3-g32 2 1 5 5 15 15 11 36
g3-g33 2 0 7 7 25 15 20 34
g3-g34 2 0 0 0 13 12 11 25
g3-g35 2 1 0 0 13 14 14 25
g3-g36 2 0 3 3 22 16 14 28
g3-g37 2 1 1 1 14 15 11 26
g3-g38 2 0 0 0 14 15 11 26
g3-g39 2 0 4 4 23 17 16 30
g3-g4 2 1 0 0 12 12 10 24
g3-g40 2 1 4 4 15 15 14 31
g3-g41 2 0 9 9 29 22 23 33
g3-g42 2 1 0 0 15 15 10 26
g3-g43 2 1 1 1 15 14 11 27
g3-g44 2 1 2 2 15 15 14 27
g3-g45 2 1 2 2 16 15 15 28
g3-g46 2 1 1 2 14 16 14 29
g3-g47 2 1 1 2 15 16 15 28
g3-g48 2 1 2 2 14 15 14 28
g3-g49 2 1 1 1 16 15 10 27
g3-g5 2 0 0 0 12 12 12 24
g3-g50 2 1 4 4 15 16 14 33
g3-g6 2 0 0 0 10 11 13 24
g3-g7 2 0 0 0 13 12 13 23
g3-g8 2 0 0 0 14 13 12 25
g3-g9 2 0 0 0 13 12 10 24
g30-g31 2 0 6 6 28 29 29 39
g30-g32 2 0 12 12 32 29 34 49
g30-g40 2 0 13 13 39 36 29 48
g30-g44 2 0 5 4 10 10 9 8
g30-g45 2 0 4 4 12 12 11 7
g30-g50 2 0 9 11 17 17 16 18
g31-g32 2 1 14 14 43 47 35 53
g31-g40 2 X NaN NaN NaN NaN NaN NaN
g31-g50 2 0 15 11 13 14 15 16
g33-g37 2 0 3 2 25 27 29 34
g33-g38 2 0 1 1 10 9 9 2
g33-g40 2 1 6 6 43 43 28 42
g33-g43 2 0 3 3 12 10 12 4
g33-g44 2 0 15125 15264 3673 3936 15243 844
g33-g45 2 0 16129 15746 3021 3699 13617 846
g33-g46 2 0 9 9 35 30 28 41
g33-g47 2 0 8 8 34 34 35 41
g33-g48 2 0 15 9 52 40 38 52
g33-g49 2 0 NaN 915978 145683 98559 NaN 24416
g33-g50 2 1 1681 4573 635 280 88 46
g34-g35 2 0 1 2 12 10 10 3
g34-g36 2 0 1 2 10 10 10 3
g34-g37 2 0 398420 384296 40025 36650 396793 8431
g34-g38 2 0 1 0 10 11 10 2
g34-g39 2 0 2 2 13 12 12 2
g34-g40 2 1 7 4 57 58 34 46
g34-g41 2 0 50 33 58 72 58 83
g34-g42 2 0 476 583 114 207 370 276
g34-g43 2 0 2 2 12 12 12 4
g34-g44 2 0 2 3 11 12 12 5
g34-g45 2 0 2 2 14 11 13 5
g34-g46 2 X NaN NaN NaN NaN NaN NaN
g34-g47 2 X NaN NaN NaN NaN NaN NaN
g34-g48 2 X NaN NaN NaN NaN NaN NaN
g34-g49 2 X NaN NaN NaN NaN NaN NaN
g34-g50 2 X NaN NaN NaN NaN NaN NaN
g35-g37 2 1 1858 213 157 37 257 59
g35-g38 2 0 1 1 9 9 8 2
g35-g40 2 1 6 12 64 60 34 47
g35-g41 2 0 2 1 34 29 24 35
g35-g42 2 0 3 2 33 32 33 36
g35-g43 2 0 3 4 11 11 10 5
g35-g44 2 0 6 4 12 11 13 6
g35-g45 2 0 2 2 13 13 13 6
g35-g46 2 0 6 4 38 36 34 40
g35-g47 2 0 5 4 29 27 17 40
g35-g48 2 0 3 5 24 23 22 40
g35-g49 2 X NaN NaN NaN NaN NaN NaN
g35-g50 2 1 13717 6714 907 2487 214 74
g36-g37 2 1 321 305 37 30 33 35
g36-g38 2 0 1 1 9 10 8 2
g36-g40 2 1 8 8 55 61 33 47
g36-g41 2 0 1 2 32 29 25 34
g36-g42 2 0 2 1 33 34 16 35
g36-g43 2 0 2 4 13 12 10 4
g36-g44 2 0 2 5 13 13 12 6
g36-g45 2 0 5 5 12 12 13 6
g36-g46 2 0 10 16 71 35 37 51
g36-g47 2 0 14 14 78 39 31 50
g36-g48 2 0 29 36 61 50 46 69
g36-g49 2 0 NaN NaN NaN NaN NaN 222203
g36-g50 2 X NaN NaN NaN NaN NaN NaN
g37-g38 2 0 2 1 10 10 11 3
g37-g40 2 1 415394 NaN 616725 33164 116554 6955
g37-g43 2 0 3 2 10 10 9 5
g37-g44 2 0 5 5 11 14 11 8
g37-g45 2 0 5 7 13 11 11 8
g37-g46 2 0 4 6 37 38 34 41
g37-g47 2 0 8 5 38 36 31 41
g37-g48 2 0 8 8 40 35 26 42
g37-g49 2 0 2 3 12 12 12 5
g37-g50 2 X NaN NaN NaN NaN NaN NaN
g38-g40 2 1 7 5 16 15 24 37
g38-g43 2 0 1 1 8 9 8 3
g38-g44 2 0 2 2 22 23 17 33
g38-g45 2 0 3 3 23 23 20 33
g38-g50 2 1 4 6 25 25 21 38
g39-g40 2 1 9 8 59 62 37 46
g39-g41 2 0 2 2 28 36 18 35
g39-g42 2 0 1 3 23 26 33 37
g39-g43 2 0 3 2 11 12 13 4
g39-g44 2 0 3 4 9 12 8 6
g39-g45 2 0 4 2 12 13 12 6
g39-g46 2 0 20 21 66 39 41 58
g39-g47 2 0 21 21 70 47 42 60
g39-g48 2 0 44 52 95 67 64 85
g39-g49 2 X NaN NaN NaN NaN NaN NaN
g39-g50 2 1 185 7627 509 1580 116 55
g4-g10 2 0 0 0 9 9 9 0
g4-g11 2 0 0 0 7 8 7 0
g4-g12 2 0 0 0 13 11 9 25
g4-g13 2 0 0 0 10 9 8 0
g4-g14 2 0 0 0 7 8 7 0
g4-g15 2 1 0 0 10 11 12 24
g4-g16 2 0 0 0 10 9 9 0
g4-g20 2 0 8 5 22 18 16 35
g4-g21 2 1 1 1 12 13 10 28
g4-g22 2 0 0 0 9 9 10 0
g4-g23 2 1 0 0 13 13 12 25
g4-g25 2 1 0 0 15 13 12 24
g4-g26 2 1 0 0 12 14 11 25
g4-g27 2 1 0 0 13 13 14 25
g4-g28 2 0 0 0 9 10 9 0
g4-g29 2 0 2 2 10 11 11 28
g4-g30 2 0 2 2 14 15 10 28
g4-g31 2 0 3 3 14 16 14 28
g4-g32 2 1 5 5 16 13 14 36
g4-g33 2 0 0 0 9 9 9 0
g4-g37 2 0 1 1 15 15 12 26
g4-g38 2 0 0 0 13 14 15 26
g4-g40 2 1 4 4 14 13 13 31
g4-g41 2 0 0 0 10 10 9 0
g4-g42 2 0 0 0 14 15 10 26
g4-g43 2 1 1 1 16 15 14 27
g4-g44 2 0 2 2 16 16 15 29
g4-g45 2 0 2 2 14 15 13 28
g4-g46 2 0 2 2 13 15 13 28
g4-g47 2 0 2 2 12 12 13 28
g4-g48 2 0 2 2 15 15 11 28
g4-g49 2 1 1 1 14 15 15 28
g4-g5 2 0 0 0 9 10 9 0
g4-g50 2 1 4 5 16 16 16 33
g4-g6 2 0 0 0 9 9 10 0
g4-g7 2 0 0 0 13 12 14 24
g4-g9 2 0 0 0 9 9 9 0
g40-g50 2 0 9 9 12 12 14 18
g41-g42 2 0 2 2 11 11 11 4
g41-g43 2 0 3 2 13 12 14 4
g41-g44 2 0 5 4 13 10 13 7
g41-g45 2 0 4 5 12 14 13 6
g41-g46 2 0 15 11 45 37 46 54
g41-g47 2 0 16 16 76 41 48 55
g41-g48 2 0 32 33 69 64 51 74
g41-g49 2 X NaN NaN NaN NaN NaN NaN
g41-g50 2 1 NaN NaN NaN NaN NaN 29512
g42-g43 2 0 3 4 13 13 13 5
g42-g44 2 0 5 5 14 14 13 8
g42-g45 2 0 4 5 13 12 14 8
g42-g46 2 0 5 6 38 37 36 41
g42-g47 2 0 6 5 29 34 34 42
g42-g48 2 0 4 7 41 38 38 42
g42-g49 2 X NaN NaN NaN NaN NaN NaN
g42-g50 2 1 NaN NaN NaN NaN 200749 30676
g43-g44 2 0 4 6 14 14 13 7
g43-g45 2 0 5 4 12 12 12 8
g43-g50 2 1 NaN 331496 NaN 49156 160557 2392
g44-g45 2 0 4 5 9 10 9 8
g44-g50 2 0 8 15 36 35 38 47
g45-g50 2 0 6 15 37 35 33 39
g46-g47 2 0 4 5 13 13 12 9
g46-g48 2 1 8 8 36 29 33 44
g46-g50 2 0 13 7 12 13 11 13
g47-g48 2 0 8 5 14 15 14 11
g47-g50 2 0 10 11 11 12 9 13
g48-g50 2 0 8 10 10 13 11 14
g49-g50 2 X NaN NaN NaN NaN NaN NaN
g5-g11 2 0 0 0 13 12 13 24
g5-g12 2 0 0 0 15 12 14 24
g5-g13 2 1 0 0 14 15 13 26
g5-g14 2 1 0 0 13 12 13 25
g5-g15 2 1 0 0 12 12 14 24
g5-g16 2 0 1 0 14 13 13 25
g5-g20 2 1 0 0 12 14 14 25
g5-g21 2 1 3 1 13 13 14 29
g5-g22 2 1 0 0 14 14 15 24
g5-g23 2 1 0 0 13 12 14 25
g5-g25 2 1 0 0 14 15 14 24
g5-g26 2 1 0 0 14 14 15 26
g5-g27 2 1 1 1 14 14 14 25
g5-g28 2 0 0 0 10 9 11 0
g5-g29 2 1 2 1 15 13 16 28
g5-g30 2 1 1 1 15 15 15 28
g5-g31 2 1 2 2 15 14 15 28
g5-g32 2 1 5 5 15 16 15 27
g5-g33 2 0 0 0 16 14 14 25
g5-g37 2 1 1 1 15 14 14 26
g5-g38 2 0 0 0 15 16 14 25
g5-g40 2 1 3 4 15 15 16 32
g5-g41 2 1 0 0 15 12 15 25
g5-g42 2 1 0 1 15 14 14 26
g5-g43 2 1 1 1 16 15 16 26
g5-g44 2 1 2 2 15 15 14 28
g5-g45 2 1 1 2 16 16 16 28
g5-g46 2 1 2 2 15 15 15 28
g5-g47 2 1 2 2 15 16 16 28
g5-g48 2 1 2 2 14 15 15 28
g5-g49 2 1 1 1 14 15 15 27
g5-g50 2 1 4 5 17 15 16 33
g5-g6 2 0 0 0 9 8 10 0
g5-g7 2 0 0 0 9 10 9 0
g6-g11 2 0 0 0 14 14 12 24
g6-g12 2 0 0 0 14 13 14 25
g6-g13 2 1 0 0 13 13 14 25
g6-g14 2 1 0 0 13 13 14 25
g6-g15 2 1 1 2 13 12 14 24
g6-g16 2 1 0 0 14 14 14 24
g6-g20 2 1 1 1 15 15 13 26
g6-g21 2 1 1 2 15 14 14 29
g6-g22 2 0 0 0 15 13 16 25
g6-g23 2 1 0 0 14 12 14 24
g6-g25 2 1 3 40 16 14 13 25
g6-g26 2 1 0 0 14 14 15 25
g6-g27 2 1 1 1 15 15 15 26
g6-g28 2 0 0 0 15 15 16 25
g6-g29 2 1 2 2 15 15 16 28
g6-g30 2 1 1 2 15 16 17 29
g6-g31 2 1 3 2 15 15 15 29
g6-g32 2 1 7 7 16 17 16 37
g6-g33 2 0 0 0 15 14 15 25
g6-g37 2 1 4 7 16 15 15 27
g6-g38 2 0 0 0 17 16 12 25
g6-g40 2 1 4 4 16 16 16 33
g6-g41 2 0 0 0 17 14 16 26
g6-g42 2 0 1 1 17 17 15 26
g6-g43 2 1 1 1 17 17 17 27
g6-g44 2 1 2 2 17 17 15 30
g6-g45 2 1 2 2 16 16 16 29
g6-g46 2 1 2 1 16 16 15 29
g6-g47 2 1 2 2 16 16 16 28
g6-g48 2 1 3 3 16 17 17 29
g6-g49 2 1 1 1 16 17 16 27
g6-g50 2 1 4 4 16 18 14 33
g6-g7 2 0 0 0 10 10 10 0
g7-g11 2 0 0 0 9 8 9 0
g7-g12 2 0 0 0 9 9 9 0
g7-g13 2 0 0 0 9 10 8 0
g7-g14 2 0 0 0 9 9 9 0
g7-g15 2 0 0 0 8 8 7 0
g7-g16 2 0 0 0 10 9 9 0
g7-g20 2 0 182 155 90 135 131 215
g7-g21 2 1 2 2 14 14 14 29
g7-g22 2 0 0 0 9 10 9 0
g7-g23 2 0 0 0 8 9 8 1
g7-g25 2 0 0 0 9 9 9 0
g7-g26 2 0 0 0 9 10 8 1
g7-g27 2 0 1 1 9 10 9 1
g7-g28 2 0 0 0 9 9 9 0
g7-g29 2 0 16 16 37 24 23 41
g7-g30 2 0 13 13 38 27 23 42
g7-g31 2 0 25 25 75 30 34 53
g7-g32 2 1 6 6 16 16 17 37
g7-g33 2 0 0 0 9 10 8 0
g7-g37 2 0 1 1 11 13 11 27
g7-g38 2 1 0 0 16 15 15 25
g7-g40 2 1 4 4 15 18 16 32
g7-g41 2 0 0 0 9 9 9 1
g7-g42 2 0 1 0 9 8 9 1
g7-g43 2 X NaN NaN NaN NaN NaN NaN
g7-g44 2 0 17 16 39 28 26 41
g7-g45 2 0 9 16 42 31 28 43
g7-g46 2 0 3 2 17 17 16 29
g7-g47 2 0 2 1 17 17 15 30
g7-g48 2 0 2 3 15 16 17 31
g7-g49 2 0 11917 11521 3087 2460 14071 1010
g7-g50 2 1 9 7 18 16 18 35
g8-g10 2 0 0 0 15 13 14 25
g8-g11 2 0 0 0 14 13 13 25
g8-g12 2 0 0 0 12 14 14 25
g8-g13 2 0 7 7 22 18 20 33
g8-g14 2 0 0 0 13 15 13 26
g8-g15 2 0 433 382 412 308 431 126
g8-g16 2 1 0 0 14 14 17 25
g8-g19 2 0 0 0 14 14 14 25
g8-g20 2 1 1 1 15 15 15 26
g8-g21 2 1 2 2 15 15 14 28
g8-g22 2 0 0 0 14 16 12 25
g8-g23 2 0 844 925 587 685 833 307
g8-g25 2 0 0 0 10 10 10 0
g8-g26 2 0 858 652 568 557 780 249
g8-g27 2 1 39 51 16 17 18 27
g8-g28 2 0 0 0 16 16 15 26
g8-g29 2 1 4 6 15 15 17 30
g8-g30 2 1 5 24 16 17 15 30
g8-g31 2 1 3 3 19 17 11 29
g8-g32 2 1 12 5 13 13 9 38
g8-g33 2 0 1 0 16 16 18 26
g8-g35 2 0 0 1 18 17 16 27
g8-g36 2 0 0 0 15 17 16 26
g8-g37 2 1 12 18 17 14 18 26
g8-g38 2 0 0 0 16 17 12 28
g8-g40 2 1 4 4 18 19 12 34
g8-g41 2 0 1 1 19 17 17 28
g8-g42 2 0 1 1 18 16 16 28
g8-g43 2 1 3 14 19 17 17 28
g8-g44 2 1 3 3 14 15 18 30
g8-g45 2 1 3 3 17 18 13 29
g8-g46 2 0 12 10 30 25 18 40
g8-g47 2 0 11 11 34 25 26 40
g8-g48 2 0 15 15 48 36 38 58
g8-g49 2 1 2 2 17 18 16 30
g8-g50 2 1 6 6 18 20 17 35
g8-g9 2 0 0 0 9 10 9 0
g9-g10 2 0 0 0 9 8 9 0
g9-g11 2 0 0 0 13 12 10 24
g9-g12 2 0 0 0 14 15 10 25
g9-g13 2 0 0 0 16 13 15 25
g9-g14 2 0 0 0 16 14 16 25
g9-g15 2 0 0 0 13 12 14 25
g9-g16 2 0 0 0 14 15 16 25
g9-g20 2 1 1 1 16 14 12 27
g9-g21 2 1 2 1 15 15 11 28
g9-g22 2 0 0 0 14 16 16 25
g9-g23 2 1 0 1 17 14 14 26
g9-g25 2 0 0 0 10 8 9 0
g9-g26 2 1 0 0 16 14 16 26
g9-g27 2 1 6 41 16 17 15 27
g9-g28 2 0 0 0 15 16 13 25
g9-g29 2 X NaN NaN NaN NaN NaN NaN
g9-g30 2 0 4 4 19 18 13 31
g9-g31 2 0 6 6 20 18 19 33
g9-g32 2 1 6 6 17 17 18 36
g9-g33 2 0 0 0 15 15 17 27
g9-g37 2 0 41 72 41 71 89 175
g9-g38 2 0 0 0 16 16 14 27
g9-g40 2 1 5 4 20 19 14 33
g9-g41 2 0 1 0 18 19 18 26
g9-g42 2 0 1 1 19 19 17 27
g9-g43 2 1 1 1 17 17 19 28
g9-g44 2 X NaN NaN NaN NaN NaN NaN
g9-g45 2 X NaN NaN NaN NaN NaN NaN
g9-g46 2 0 3 2 14 14 14 31
g9-g47 2 0 3 3 20 16 17 30
g9-g48 2 0 3 3 20 21 15 30
g9-g49 2 1 3 12 19 19 16 29
g9-g50 2 1 4 5 19 19 19 35
PR15-1 9 1 317 296 1101 1077 668 689
PR15-2 9 1 276 273 829 818 518 576
PR15-3 9 1 251 270 802 812 446 559
PR15-4 9 1 258 236 840 841 529 589
PR15-5 9 1 238 300 796 845 537 572
PR15-6 9 1 244 263 1127 1142 898 711
PR15-7 9 1 305 273 1307 1380 996 880
PR15-8 9 1 272 248 744 725 409 558
PR15-9 9 1 280 281 1332 1044 835 667
PR15-10 9 1 218 243 779 834 450 559
PR15-11 9 1 264 234 860 806 479 557
PR15-12 9 1 275 266 793 825 535 573
PR15-13 9 1 236 242 972 891 589 663
PR15-14 9 1 302 290 1138 1185 905 776
PR15-15 9 1 270 288 1054 1336 900 687
PR15-16 9 1 216 218 765 790 480 562
PR15-17 9 1 254 222 877 777 442 580
PR15-18 9 1 295 262 851 818 551 574
PR15-19 9 1 235 304 707 788 454 554
PR15-20 9 1 299 261 817 745 520 559
PR15-21 9 1 312 248 789 789 553 575
PR15-22 9 1 301 301 830 777 497 564
PR15-23 9 1 271 302 736 701 444 550
PR15-24 9 1 314 272 1020 1029 655 641
g10-g100 11 0 27 42 48 46 53 53
g10-g101 11 0 71 74 66 72 70 66
g10-g102 11 0 48 69 74 71 73 77
g10-g103 11 0 57 51 241 251 176 190
g10-g104 11 0 NaN NaN 413398 341927 NaN 66080
g10-g105 11 0 NaN NaN 419348 343856 NaN 66257
