instance family mcsplitdown14 mcsplitdownbiasedrestarts14
si4_b03_m800.01 3 13 9
si4_b03_m800.06 3 12 17
si4_b03_m800.07 3 11 10
si6_m4D_m1296.02 5 64 110
si6_m4D_m1296.07 5 67 145
si6_m4D_m1296.05 5 85 55
si6_m4D_m1296.09 5 96 177
si6_m4D_m1296.00 5 64399 794
si6_m4D_m1296.08 5 46 54
si6_m4D_m1296.04 5 76 52
si6_m4D_m1296.06 5 56 60
si6_m4D_m1296.01 5 17697 113
si6_m4D_m1296.03 5 844 314
si6_r001_m200.05 7 35 41
si6_r001_m200.09 7 17 15
si6_r001_m200.07 7 1 1
si6_r001_m200.02 7 5 10
si6_r001_m200.01 7 1 1
si6_r001_m200.00 7 1 2
si6_r001_m200.04 7 6 8
si6_r001_m200.06 7 1 1
si6_r001_m200.08 7 2 2
si6_r001_m200.03 7 2 2
si4_b06_m400.06 3 4 4
si4_b06_m400.07 3 5 4
si4_b06_m400.09 3 3 5
si4_b06_m400.01 3 3 3
si4_b06_m400.04 3 3 4
si4_b06_m400.03 3 4 4
si4_b06_m400.00 3 3 2
si4_b06_m400.05 3 4 4
si4_b06_m400.08 3 3 4
si4_b06_m400.02 3 3 3
si2_m4Dr6_m256.06 6 9 11
si2_m4Dr6_m256.05 6 1 2
si2_m4Dr6_m256.09 6 9 23
si2_m4Dr6_m256.00 6 9 3
si2_m4Dr6_m256.07 6 2 1
si2_m4Dr6_m256.04 6 1 1
si2_m4Dr6_m256.02 6 2 0
si2_m4Dr6_m256.01 6 27 1
si2_m4Dr6_m256.08 6 4 8
si2_m4Dr6_m256.03 6 1 1
si6_r01_m200.04 7 1 2
si6_r01_m200.08 7 4 4
si6_r01_m200.02 7 6 23
si6_r01_m200.09 7 1 9
si6_r01_m200.07 7 4 2
si6_r01_m200.00 7 6 14
si6_r01_m200.01 7 3 4
si6_r01_m200.03 7 21 48
si6_r01_m200.05 7 6 9
si6_r01_m200.06 7 3 4
si2_b03m_m800.03 4 6 11
si2_b03m_m800.02 4 9 10
si2_b03m_m800.09 4 7 47
si2_b03m_m800.04 4 8 11
si2_b03m_m800.06 4 5 7
si2_b03m_m800.05 4 8 27
si2_b03m_m800.01 4 7 7
si2_b03m_m800.08 4 6 11
si2_b03m_m800.07 4 NaN 4753
si2_b03m_m800.00 4 6 10
si2_r001_m200.06 7 5 11
si2_r001_m200.01 7 431 124
si2_r001_m200.02 7 179 149
si2_r001_m200.07 7 0 0
si2_r001_m200.04 7 2 3
si2_r001_m200.05 7 224259 151
si2_r001_m200.09 7 48992 27
si2_r001_m200.03 7 2178 153
si2_r001_m200.00 7 0 0
si2_r001_m200.08 7 13341 20945
si6_b03m_m800.01 4 17 24
si6_b03m_m800.08 4 17 16
si6_b03m_m800.03 4 84 59
si6_b03m_m800.00 4 20 15
si6_b03m_m800.04 4 26 21
si6_b03m_m800.05 4 22 18
si6_b03m_m800.07 4 18 19
si6_b03m_m800.06 4 19 17
si6_b03m_m800.09 4 15 23
si6_b03m_m800.02 4 13 23
si4_r005_m200.00 7 24 2
si4_r005_m200.08 7 3 3
si4_r005_m200.02 7 24 33
si4_r005_m200.05 7 4 2
si4_r005_m200.06 7 2 1
si4_r005_m200.04 7 3 15
si4_r005_m200.07 7 3 2
si4_r005_m200.09 7 5 6
si4_r005_m200.01 7 1 4
si4_r005_m200.03 7 7 7
si6_b09m_m400.03 4 6 7
si6_b09m_m400.07 4 7 6
si6_b09m_m400.00 4 4 7
si6_b09m_m400.04 4 5 6
si6_b09m_m400.06 4 5 6
si6_b09m_m400.08 4 7 10
si6_b09m_m400.02 4 4 6
si6_b09m_m400.05 4 5 5
si6_b09m_m400.09 4 5 4
si6_b09m_m400.01 4 4 6
si2_b09_m200.08 3 0 0
si2_b09_m200.01 3 0 0
si2_b09_m200.06 3 0 0
si2_b09_m200.05 3 0 0
si2_b09_m200.00 3 0 0
si2_b09_m200.02 3 0 0
si2_b09_m200.03 3 0 0
si2_b09_m200.04 3 0 0
